Procedure Name,CPT Code,wRVU Value,Category
XR RIBS UNILAT LEFT AND PA CHEST MIN 3 VIEWS,71100,0.22,X-ray
XR FEMUR 2 OR MORE VIEWS LEFT,73550,0.22,X-ray
XR TOE 1ST LEFT,73660,0.22,X-ray
XR HAND MINIMUM 3 VIEWS RIGHT,73120,0.22,X-ray
XR FOREARM 2 VIEWS RIGHT,73090,0.22,X-ray
XR WRIST MINIMUM 3 VIEWS LEFT,73110,0.22,X-ray
XR WRIST MINIMUM 3 VIEWS RIGHT,73110,0.22,X-ray
PET CT SKULL BASE TO MID THIGH INIT,78815,4.8,PET
PET CT SKULL BASE TO MID THIGH SUBSEQUENT,78815,4.8,PET
FL GUIDANCE VENOUS ACCESS,77001,0.25,Fluoroscopy
FL ESOPHAGRAM COMPLETE,74220,0.85,Fluoroscopy
FL ESOPHAGRAM SINGLE CONTRAST,74220,0.85,Fluoroscopy
FL UPPER GI WITH SMALL BOWEL FOLLOW THROUGH,74245,1.25,Fluoroscopy
FL RETROGRADE PYELOGRAM WITH AND WITHOUT KUB,74420,1.0,Fluoroscopy
FL SWALLOW STUDY FOR SPEECH,74230,0.85,Fluoroscopy
FLUORO GUIDANCE VENOUS ACCESS,77001,0.25,Fluoroscopy
FLUORO ESOPHAGRAM COMPLETE,74220,0.85,Fluoroscopy
FLUOROSCOPY GUIDED SPINAL INJECTION,77003,0.67,Fluoroscopy
NM BONE SCAN 3 PHASE,78320,0.96,Nuclear Medicine
NM LUNG SCAN VENTILATION AND PERFUSION IMAGING,78588,1.4,Nuclear Medicine
NM LIVER SCAN STATIC ONLY,78215,0.74,Nuclear Medicine
NM GASTRIC EMPTYING STUDY,78264,1.0,Nuclear Medicine
NM HIDA SCAN,78226,0.96,Nuclear Medicine
IR EMBOLIZATION ARTERIAL,37204,3.2,Interventional Radiology
IR KYPHOPLASTY LUMBAR,22523,2.8,Interventional Radiology
THORACENTESIS,32554,1.2,Procedure
PARACENTESIS,49082,1.0,Procedure
DXA BONE DENSITY SPINE AND HIP,77080,0.32,Bone Density
MAMMO DIGITAL 3D SCREENING BILATERAL,77067,0.7,Mammography
MAMMO DIGITAL 3D DIAGNOSTIC UNILATERAL LEFT,77066,0.7,Mammography
